,Name,RA,Dec,MajAx,MinAx,PosAng,M,NGC,IC,Common names
0,IC0001,00:08:27.05,+27:43:03.6,,,,,,,
1,IC0002,00:11:00.88,-12:49:22.3,0.98,0.32,142.0,,,,
2,IC0003,00:12:06.09,-00:24:54.8,0.93,0.67,53.0,,,,
3,IC0004,00:13:26.94,+17:29:11.2,1.17,0.84,12.0,,,,
4,IC0005,00:17:34.93,-09:32:36.1,0.99,0.66,9.0,,,,
5,IC0006,00:18:55.04,-03:16:33.9,1.23,1.08,146.0,,,,
6,IC0007,00:18:53.16,+10:35:40.9,0.9,0.63,174.0,,,,
7,IC0008,00:19:02.72,-03:13:19.5,0.82,0.34,129.0,,,,
8,IC0009,00:19:43.98,-14:07:18.8,0.59,0.46,122.0,,,,
9,IC0010,00:20:17.34,+59:18:13.6,6.76,6.03,129.0,,,,
10,IC0011,00:52:59.35,+56:37:18.8,,,,,0281,,
11,IC0012,00:20:15.05,-02:39:11.2,0.96,0.32,20.0,,,,
12,IC0013,00:20:20.09,+07:42:01.8,1.29,0.53,162.0,,,,
13,IC0014,00:22:31.29,+10:29:24.9,,,,,,,
14,IC0015,00:27:57.59,-00:03:40.6,0.44,0.38,91.0,,,,
15,IC0016,00:28:07.65,-13:05:38.1,0.58,0.32,62.0,,,,
16,IC0017,00:28:29.78,+02:38:55.0,0.67,0.54,102.0,,,,
17,IC0018,00:28:34.96,-11:35:12.1,1.08,0.41,29.0,,,,
18,IC0019,00:28:39.48,-11:38:26.8,0.79,0.67,30.0,,,,
19,IC0020,00:28:39.68,-13:00:37.1,0.91,0.77,18.0,,,,
20,IC0021,00:29:10.43,-00:09:49.6,0.49,0.45,6.0,,,,
21,IC0022,00:29:33.17,-09:04:50.7,0.81,0.44,45.0,,,,
22,IC0023,00:30:50.80,-12:43:12.9,0.85,0.77,20.0,,,,
23,IC0024,00:31:16.63,+30:50:21.5,,,,,,,
24,IC0025,00:31:12.09,-00:24:26.5,0.86,0.44,34.0,,,,
25,IC0026,00:31:45.94,-13:20:14.9,,,,,0135,,
26,IC0027,00:33:06.24,-13:22:17.4,0.58,0.34,148.0,,,,
27,IC0028,00:33:08.72,-13:27:22.6,0.3,0.22,85.0,,,,
28,IC0029,00:34:10.80,-02:10:39.5,0.66,0.49,160.0,,,,
29,IC0030,00:34:14.72,-02:05:04.5,0.69,0.39,23.0,,,,
30,IC0031,00:34:24.63,+12:16:05.4,1.16,0.23,90.0,,,,
31,IC0032,00:35:01.69,-02:08:30.1,0.62,0.39,1.0,,,,
32,IC0033,00:35:05.16,-02:08:15.7,0.78,0.58,123.0,,,,
33,IC0034,00:35:36.42,+09:07:27.3,2.81,1.05,156.0,,,,
34,IC0035,00:37:39.88,+10:21:28.7,0.9,0.74,18.0,,,,
35,IC0036,00:37:49.65,-15:26:28.6,0.31,0.3,60.0,,,,
36,IC0037,00:38:34.18,-15:21:31.3,0.67,0.38,158.0,,,,
37,IC0038,00:38:38.76,-15:25:11.4,0.77,0.57,65.0,,,,
38,IC0039,00:39:08.40,-14:10:22.2,,,,,0178,,
39,IC0040,00:39:21.40,+02:27:22.4,1.05,0.43,14.0,,,,
40,IC0041,00:39:40.37,-14:10:27.6,0.71,0.45,162.0,,,,
41,IC0042,00:41:05.84,-15:25:41.1,0.76,0.53,56.0,,,,
42,IC0043,00:42:22.06,+29:38:29.9,1.26,1.15,87.0,,,,
43,IC0044,00:42:15.88,+00:50:43.8,,,,,0223,,
44,IC0045,00:42:36.34,+29:39:18.9,,,,,,,
45,IC0046,00:42:57.97,+27:15:12.5,0.8,0.61,82.0,,,,
46,IC0047,00:42:55.01,-13:44:26.6,0.41,0.24,100.0,,,,
47,IC0048,00:43:34.47,-08:11:11.4,1.12,0.92,172.0,,,1577,
48,IC0049,00:43:56.13,+01:51:01.0,1.28,1.04,77.0,,,,
49,IC0050,00:46:05.71,-09:30:10.8,1.02,0.87,169.0,,,,
50,IC0051,00:46:24.22,-13:26:32.5,1.7,1.11,55.0,,,,
51,IC0052,00:48:23.78,+04:05:30.7,0.95,0.41,96.0,,,,
52,IC0053,00:50:40.77,+10:36:01.0,0.87,0.62,94.0,,,,
53,IC0054,00:50:46.85,-02:17:16.0,,,,,,,
54,IC0055,00:51:42.39,+07:43:06.7,0.55,0.28,175.0,,,,
55,IC0056,00:51:29.94,-12:50:39.5,0.82,0.74,116.0,,,,
56,IC0057,00:54:48.50,+11:50:28.3,1.03,0.96,10.0,,,,
57,IC0058,00:55:02.44,-13:40:41.1,0.84,0.5,105.0,,,,
58,IC0059,00:57:28.61,+61:08:37.2,10.0,5.0,,,,,
59,IC0060,00:56:04.23,-13:21:28.5,1.04,0.76,48.0,,,,
60,IC0061,00:57:07.20,+07:30:25.5,1.34,1.29,175.0,,,,
61,IC0062,00:58:43.94,+11:48:28.8,0.76,0.46,25.0,,,,
62,IC0063,00:59:28.84,+60:54:42.1,10.0,3.0,,,,,
